unidade;ano;mes;case_mix
HRAD;2021;6;1,3235
HRAD;2021;7;1,283
HRAD;2021;8;1,1142
HRAD;2021;9;0,9637999999999999
HRAD;2021;10;1,0776
HRAD;2021;11;1,1781
HRAD;2021;12;1,0859
HRAD;2022;1;1,1252
HRAD;2022;2;1,1546
HRAD;2022;3;1,0674
HRAD;2022;4;1,1518
HRAD;2022;5;1,1574
HRAD;2022;6;1,1417
HRAD;2022;7;1,2119
HRAD;2022;8;1,1833
HRAD;2022;9;1,2625
HRAD;2022;10;1,078
HRAD;2022;11;1,2148
HRAD;2022;12;1,1067
HRAD;2023;1;1,1968
HRAD;2023;2;1,032
HRAD;2023;3;1,0803
HRAD;2023;4;1,1644
HRAD;2023;5;1,2673
HRAD;2023;6;1,1984
HRAD;2023;7;1,3576
HRAD;2023;8;1,3444
HRAD;2023;9;1,295
HRAD;2023;10;1,2146
HRAD;2023;11;1,2192
HRAD;2023;12;1,376
HRAD;2024;1;1,3195
HRAD;2024;2;1,4132
HRAD;2024;3;1,6296000000000002
HRAD;2024;4;1,4339
HRAD;2024;5;1,2652
HRAD;2024;6;1,4533
HRAD;2024;7;1,3997
HRAD;2024;8;1,251
HRAD;2024;9;1,2807
HRAD;2024;10;1,2095
HRAD;2024;11;1,2223
HRAD;2024;12;1,2697
HRAD;2025;1;1,1957
HRAD;2025;2;1,5154999999999998
HRAD;2025;3;1,2682
HRAD;2025;4;1,2908
HRAD;2025;5;1,2582
HRAD;2025;6;1,3306
HRAD;2025;7;1,4424
HRAD;2025;8;1,3319
HRAD;2025;9;1,3215
HRAD;2025;10;1,4823
HRAD;2025;11;1,3943
HRAD;2025;12;1,4936999999999998
HRAD;2026;1;1,6764999999999999
HRAD;2026;2;1,5677
HRAD;2026;3;1,5886
HRBJA;2019;5;1,8256
HRBJA;2019;6;2,1967
HRBJA;2019;7;0,69
HRBJA;2019;8;2,2656
HRBJA;2019;9;2,3291
HRBJA;2019;10;1,9074
HRBJA;2019;11;1,6099
HRBJA;2020;1;1,2123
HRBJA;2020;2;1,2574
HRBJA;2020;3;1,053
HRBJA;2020;5;1,3588
HRBJA;2020;6;1,9334999999999998
HRBJA;2020;7;1,3191999999999997
HRBJA;2020;8;1,8477000000000001
HRBJA;2020;9;1,6778
HRBJA;2020;10;1,632
HRBJA;2020;11;2,4282
HRBJA;2020;12;2,7424
HRBJA;2021;1;1,9239
HRBJA;2021;2;1,8746
HRBJA;2021;3;2,1868
HRBJA;2021;4;1,6684000000000003
HRBJA;2021;5;1,8869
HRBJA;2021;6;1,7607000000000002
HRBJA;2021;7;2,3299
HRBJA;2021;8;2,0569
HRBJA;2021;9;2,5039
HRBJA;2021;10;1,728
HRBJA;2021;11;1,759
HRBJA;2021;12;1,9400000000000002
HRBJA;2022;1;1,1924
HRBJA;2022;2;1,5229
HRBJA;2022;3;1,9296
HRBJA;2022;4;1,5997
HRBJA;2022;5;1,7376999999999998
HRBJA;2022;6;1,6283
HRBJA;2022;7;1,6888
HRBJA;2022;8;1,7524
HRBJA;2022;9;1,8827
HRBJA;2022;10;1,52
HRBJA;2022;11;1,9222000000000001
HRBJA;2022;12;1,6541
HRBJA;2023;1;1,6717000000000002
HRBJA;2023;2;2,0114
HRBJA;2023;3;1,7809
HRBJA;2023;4;1,6915
HRBJA;2023;5;1,8209
HRBJA;2023;6;1,9435
HRBJA;2023;7;1,5913
HRBJA;2023;8;1,9622
HRBJA;2023;9;1,9908
HRBJA;2023;10;1,9018
HRBJA;2023;11;1,5719
HRBJA;2023;12;1,6618
HRBJA;2024;1;1,9043
HRBJA;2024;2;1,8562999999999998
HRBJA;2024;3;1,6854
HRBJA;2024;4;1,8065
HRBJA;2024;5;1,7506
HRBJA;2024;6;1,7563
HRBJA;2024;7;2,2259
HRBJA;2024;8;1,77
HRBJA;2024;9;1,8426999999999998
HRBJA;2024;10;1,8102
HRBJA;2024;11;1,7421
HRBJA;2024;12;1,6944
HRBJA;2025;1;1,6221
HRBJA;2025;2;1,7716
HRBJA;2025;3;1,7462
HRBJA;2025;4;1,9338000000000002
HRBJA;2025;5;1,9272
HRBJA;2025;6;1,7902
HRBJA;2025;7;1,6865
HRBJA;2025;8;1,7938
HRBJA;2025;9;1,732
HRBJA;2025;10;1,925
HRBJA;2025;11;1,9413
HRBJA;2025;12;1,735
HRBJA;2026;1;1,6932
HRBJA;2026;2;1,9579
HRBJA;2026;3;1,7671
HRJP;2019;4;0,5916
HRJP;2019;5;0,7136999999999999
HRJP;2019;6;1,4663
HRJP;2019;7;0,7014
HRJP;2019;8;1,8839
HRJP;2019;9;1,2885
HRJP;2019;10;0,9715999999999999
HRJP;2019;12;0,598
HRJP;2020;1;0,8084
HRJP;2020;2;0,579
HRJP;2020;3;1,1053
HRJP;2020;4;0,7758
HRJP;2020;5;1,0532
HRJP;2020;6;1,0923
HRJP;2020;7;1,2737
HRJP;2020;8;1,3653
HRJP;2020;9;1,1208
HRJP;2020;10;1,509
HRJP;2020;11;1,2372
HRJP;2020;12;1,0697
HRJP;2021;1;1,2351
HRJP;2021;2;1,1274
HRJP;2021;3;1,3996
HRJP;2021;4;1,2915
HRJP;2021;5;1,218
HRJP;2021;6;1,3959
HRJP;2021;7;1,5745000000000002
HRJP;2021;8;1,3657
HRJP;2021;9;1,1288
HRJP;2021;10;0,9622
HRJP;2021;11;0,9498
HRJP;2021;12;1,1983
HRJP;2022;1;1,047
HRJP;2022;2;0,8416
HRJP;2022;3;0,8527
HRJP;2022;4;0,6592
HRJP;2022;5;0,9126
HRJP;2022;6;0,6814
HRJP;2022;7;0,6902
HRJP;2022;8;0,8351
HRJP;2022;9;0,8459000000000001
HRJP;2022;10;1,0476
HRJP;2022;11;0,9316
HRJP;2022;12;0,6019
HRJP;2023;1;0,7033
HRJP;2023;2;0,6817
HRJP;2023;3;0,6391
HRJP;2023;4;0,7265
HRJP;2023;5;0,7677
HRJP;2023;6;0,6457
HRJP;2023;7;0,6025
HRJP;2023;8;1,3164
HRJP;2023;9;1,054
HRJP;2023;10;1,1778
HRJP;2023;11;1,3501
HRJP;2023;12;1,1942
HRJP;2024;1;1,1995
HRJP;2024;2;1,2528000000000001
HRJP;2024;3;1,2377
HRJP;2024;4;1,0448
HRJP;2024;5;1,1088
HRJP;2024;6;1,1704
HRJP;2024;7;1,335
HRJP;2024;8;1,2102
HRJP;2024;9;1,2007
HRJP;2024;10;1,2133
HRJP;2024;11;0,8585
HRJP;2024;12;1,1714
HRJP;2025;1;0,9482
HRJP;2025;2;0,945
HRJP;2025;3;1,0746
HRJP;2025;4;1,1345
HRJP;2025;5;0,9601
HRJP;2025;6;1,019
HRJP;2025;7;1,0889
HRJP;2025;8;1,0329
HRJP;2025;9;1,0566
HRJP;2025;10;1,0753
HRJP;2025;11;0,9141
HRJP;2025;12;1,0734
HRJP;2026;1;0,9719
HRJP;2026;2;0,8912999999999999
HRJP;2026;3;0,8739
MOV;2019;5;0,6287
MOV;2019;6;0,9707
MOV;2019;7;0,7142
MOV;2019;8;0,6043
MOV;2019;9;0,8782
MOV;2019;10;0,9771000000000001
MOV;2019;11;0,7818
MOV;2019;12;0,8828
MOV;2020;1;0,8415
MOV;2020;2;3,6991
MOV;2020;3;0,6365
MOV;2020;5;0,6387
MOV;2020;6;0,5884
MOV;2020;7;0,8372
MOV;2020;8;0,843
MOV;2020;9;0,7512
MOV;2020;10;0,7635
MOV;2020;11;0,8058
MOV;2020;12;0,7534
MOV;2021;1;0,8304
MOV;2021;2;0,8513
MOV;2021;3;0,8536999999999999
MOV;2021;4;0,9308000000000001
MOV;2021;5;0,8980999999999999
MOV;2021;6;0,8804999999999998
MOV;2021;7;0,8977999999999999
MOV;2021;8;0,943
MOV;2021;9;0,8727000000000001
MOV;2021;10;0,8924999999999998
MOV;2021;11;0,9071
MOV;2021;12;0,8033
MOV;2022;1;0,7107
MOV;2022;2;0,7861
MOV;2022;3;0,8339
MOV;2022;4;0,8897
MOV;2022;5;0,8326
MOV;2022;6;0,843
MOV;2022;7;0,9083000000000001
MOV;2022;8;0,8048
MOV;2022;9;0,7775
MOV;2022;10;0,8107
MOV;2022;11;0,8741
MOV;2022;12;0,8612999999999998
MOV;2023;1;0,7839
MOV;2023;2;0,8417000000000001
MOV;2023;3;0,8076999999999999
MOV;2023;4;0,9067000000000001
MOV;2023;5;0,8202
MOV;2023;6;0,8112000000000001
MOV;2023;7;0,8501
MOV;2023;8;0,8327
MOV;2023;9;0,9025000000000001
MOV;2023;10;0,8566
MOV;2023;11;0,9282
MOV;2023;12;0,8616999999999999
MOV;2024;1;0,8575
MOV;2024;2;0,9355
MOV;2024;3;0,7962
MOV;2024;4;0,9348
MOV;2024;5;0,9649
MOV;2024;6;0,8681
MOV;2024;7;0,7752
MOV;2024;8;0,8249
MOV;2024;9;0,9157
MOV;2024;10;0,997
MOV;2024;11;1,0421
MOV;2024;12;1,0548
MOV;2025;1;0,9295
MOV;2025;2;0,9512000000000002
MOV;2025;3;0,9246
MOV;2025;4;0,8574
MOV;2025;5;0,911
MOV;2025;6;0,8913999999999999
MOV;2025;7;0,9246
MOV;2025;8;0,9775
MOV;2025;9;0,9102
MOV;2025;10;0,8968
MOV;2025;11;0,837
MOV;2025;12;0,9587
MOV;2026;1;0,9577000000000001
MOV;2026;2;0,8729
MOV;2026;3;0,8989
